Scenario	nLines	nTechs1	nTechs2	nTechs3	nTechs123	nSalesmen	Cost	Rejected
Optimized	26	1	1	0	2	2	18978.359784908105	0.027932960893854747
Optimized	26	1	1	0	2	2	23527.490102551474	0.07972027972027972
Optimized	26	1	1	0	2	2	22626.50436067475	0.04979253112033195
Optimized	26	1	1	0	2	2	20760.15273662132	0.042492917847025496
Optimized	26	1	1	0	2	2	23341.745042087463	0.08736559139784947
Optimized	26	1	1	0	2	2	20056.94555337885	0.028089887640449437
Optimized	26	1	1	0	2	2	21302.699201126787	0.02888583218707015
Optimized	26	1	1	0	2	2	27268.50591554547	0.08108108108108109
Optimized	26	1	1	0	2	2	21115.461974653546	0.027496382054992764
Optimized	26	1	1	0	2	2	19847.18870692511	0.03504043126684636
Optimized	26	1	1	0	2	2	23316.59351770008	0.07417218543046358
Optimized	26	1	1	0	2	2	20534.402143862542	0.0410958904109589
Optimized	26	1	1	0	2	2	20715.468782429052	0.06621621621621622
Optimized	26	1	1	0	2	2	18963.432435488663	0.03064066852367688
Optimized	26	1	1	0	2	2	21140.189035291256	0.02674591381872214
Optimized	26	1	1	0	2	2	19043.751776608013	0.0823045267489712
Optimized	26	1	1	0	2	2	20707.360347303726	0.01867816091954023
Optimized	26	1	1	0	2	2	21885.162772985626	0.04061624649859944
Optimized	26	1	1	0	2	2	22299.09574085138	0.08321775312066575
Optimized	26	1	1	0	2	2	20158.065037197066	0.0598404255319149
Optimized	26	1	1	0	2	2	21127.518714916063	0.024045261669024046
Optimized	26	1	1	0	2	2	19996.959444022144	0.01272984441301273
Optimized	26	1	1	0	2	2	19887.002970570986	0.04481792717086835
Optimized	26	1	1	0	2	2	19652.905312895753	0.025423728813559324
Optimized	26	1	1	0	2	2	21392.751992006473	0.05394736842105263
Optimized	26	1	1	0	2	2	21836.78265863333	0.05540540540540541
Optimized	26	1	1	0	2	2	23322.568558803465	0.06293706293706294
Optimized	26	1	1	0	2	2	22069.03571019407	0.08365508365508366
Optimized	26	1	1	0	2	2	22446.8224286234	0.041968162083936326
Optimized	26	1	1	0	2	2	19023.71704273579	0.004213483146067416
Optimized	26	1	1	0	2	2	22516.324131162037	0.06308724832214765
Optimized	26	1	1	0	2	2	22956.67500552337	0.1044776119402985
Optimized	26	1	1	0	2	2	21340.249422712568	0.04986149584487535
Optimized	26	1	1	0	2	2	21556.842416487838	0.03278688524590164
Optimized	26	1	1	0	2	2	22128.09660396853	0.04005524861878453
Optimized	26	1	1	0	2	2	20657.8547797541	0.029985007496251874
Optimized	26	1	1	0	2	2	21862.214952806866	0.03576341127922971
Optimized	26	1	1	0	2	2	22008.458346731877	0.0445945945945946
Optimized	26	1	1	0	2	2	20297.283665364186	0.023943661971830985
Optimized	26	1	1	0	2	2	21645.590322102733	0.038408779149519894
Optimized	26	1	1	0	2	2	21597.694629706275	0.07294429708222812
Optimized	26	1	1	0	2	2	24880.188828282284	0.07712765957446809
Optimized	26	1	1	0	2	2	20936.209208453947	0.037604456824512536
Optimized	26	1	1	0	2	2	23452.0834576563	0.04492753623188406
Optimized	26	1	1	0	2	2	20772.52511572254	0.05352112676056338
Optimized	26	1	1	0	2	2	19620.438459535028	0.029453015427769985
Optimized	26	1	1	0	2	2	22990.58680862052	0.07670850767085077
Optimized	26	1	1	0	2	2	18467.345009317716	0.031609195402298854
Optimized	26	1	1	0	2	2	19533.946894088436	0.03506311360448808
Optimized	26	1	1	0	2	2	20759.49003896864	0.029787234042553193
Optimized	26	1	1	0	2	2	21814.951329053765	0.02920723226703755
Optimized	26	1	1	0	2	2	23302.987250957915	0.06862745098039216
Optimized	26	1	1	0	2	2	19883.10939395429	0.03418803418803419
Optimized	26	1	1	0	2	2	21443.88219711297	0.04861111111111111
Optimized	26	1	1	0	2	2	23656.016388447555	0.0977542932628798
Optimized	26	1	1	0	2	2	21068.436157653217	0.032520325203252036
Optimized	26	1	1	0	2	2	20698.330227227358	0.04694167852062589
Optimized	26	1	1	0	2	2	20989.406253291952	0.03504043126684636
Optimized	26	1	1	0	2	2	19261.431867725973	0.029957203994293864
Optimized	26	1	1	0	2	2	21975.289646299716	0.028050490883590462
Optimized	26	1	1	0	2	2	20648.333770132966	0.031081081081081083
Optimized	26	1	1	0	2	2	21739.867927838826	0.04424778761061947
Optimized	26	1	1	0	2	2	22514.862596447078	0.04936530324400564
Optimized	26	1	1	0	2	2	20488.60459068014	0.03636363636363636
Optimized	26	1	1	0	2	2	20295.98375940472	0.016442451420029897
Optimized	26	1	1	0	2	2	20014.220937023878	0.08087291399229782
Optimized	26	1	1	0	2	2	20207.26289520341	0.014265335235378032
Optimized	26	1	1	0	2	2	26593.858741868575	0.09921671018276762
Optimized	26	1	1	0	2	2	25446.796681450367	0.09103078982597054
Optimized	26	1	1	0	2	2	20761.123844808128	0.013024602026049204
Optimized	26	1	1	0	2	2	20581.84346108194	0.04979811574697174
Optimized	26	1	1	0	2	2	21233.07545984194	0.0674931129476584
Optimized	26	1	1	0	2	2	18992.498998281368	0.036827195467422094
Optimized	26	1	1	0	2	2	22076.152873994703	0.08689839572192513
Optimized	26	1	1	0	2	2	23111.535751538293	0.04477611940298507
Optimized	26	1	1	0	2	2	22133.617963339537	0.07884362680683311
Optimized	26	1	1	0	2	2	21753.57192656878	0.061224489795918366
Optimized	26	1	1	0	2	2	21745.290707425007	0.07752956636005257
Optimized	26	1	1	0	2	2	21272.50818724863	0.029177718832891247
Optimized	26	1	1	0	2	2	20798.309857513108	0.038781163434903045
Optimized	26	1	1	0	2	2	21366.4591111363	0.04450625869262865
Optimized	26	1	1	0	2	2	19309.46299455596	0.010447761194029851
Optimized	26	1	1	0	2	2	20269.849359611846	0.07816711590296496
Optimized	26	1	1	0	2	2	20656.954174649243	0.029411764705882353
Optimized	26	1	1	0	2	2	20869.620669059725	0.06883116883116883
Optimized	26	1	1	0	2	2	20780.922941796576	0.06200527704485488
Optimized	26	1	1	0	2	2	22831.590410183475	0.07181571815718157
Optimized	26	1	1	0	2	2	23431.012585415985	0.056282722513089
Optimized	26	1	1	0	2	2	20571.404598205594	0.04061624649859944
Optimized	26	1	1	0	2	2	20777.218902254044	0.02014388489208633
Optimized	26	1	1	0	2	2	20499.440155530745	0.037921348314606744
Optimized	26	1	1	0	2	2	20051.753311498484	0.03899721448467967
Optimized	26	1	1	0	2	2	20351.771083240004	0.0323943661971831
Optimized	26	1	1	0	2	2	20260.269742681234	0.05817174515235457
Optimized	26	1	1	0	2	2	22811.081448802004	0.05718270571827057
Optimized	26	1	1	0	2	2	21046.375281763187	0.03748326639892905
Optimized	26	1	1	0	2	2	19579.790229553164	0.030120481927710843
Optimized	26	1	1	0	2	2	22409.929722301335	0.05112781954887218
Optimized	26	1	1	0	2	2	19821.92270447978	0.02564102564102564
Optimized	26	1	1	0	2	2	23320.865584444917	0.051175656984785614
Optimized	26	1	1	0	2	2	20467.408793963434	0.03857142857142857
Optimized	26	1	1	0	2	2	21243.551541371573	0.03389830508474576
Optimized	26	1	1	0	2	2	21161.282271226377	0.02717391304347826
Optimized	26	1	1	0	2	2	22401.66144361269	0.0633245382585752
Optimized	26	1	1	0	2	2	21549.812394841367	0.04667609618104668
Optimized	26	1	1	0	2	2	21342.004737337367	0.10486891385767791
Optimized	26	1	1	0	2	2	20507.39057156908	0.06301369863013699
Optimized	26	1	1	0	2	2	24214.969793318403	0.10472541507024266
Optimized	26	1	1	0	2	2	21744.925806345207	0.060240963855421686
Optimized	26	1	1	0	2	2	19384.505758583546	0.020718232044198894
Optimized	26	1	1	0	2	2	20871.103129922783	0.04454022988505747
Optimized	26	1	1	0	2	2	20576.99483706854	0.038834951456310676
Optimized	26	1	1	0	2	2	20878.210410776323	0.05475504322766571
Optimized	26	1	1	0	2	2	21764.750001708075	0.06728232189973615
Optimized	26	1	1	0	2	2	19574.098364019344	0.05364511691884457
Optimized	26	1	1	0	2	2	21587.619893833755	0.04722222222222222
Optimized	26	1	1	0	2	2	21372.99371840169	0.016901408450704224
Optimized	26	1	1	0	2	2	21989.752628240563	0.09152086137281291
Optimized	26	1	1	0	2	2	20902.88606027292	0.046218487394957986
Optimized	26	1	1	0	2	2	20543.31506374475	0.05263157894736842
Optimized	26	1	1	0	2	2	19636.765802704947	0.02553191489361702
Optimized	26	1	1	0	2	2	21479.40300457047	0.046153846153846156
Optimized	26	1	1	0	2	2	19422.68815634027	0.03333333333333333
Optimized	26	1	1	0	2	2	21397.766749251816	0.03333333333333333
Optimized	26	1	1	0	2	2	18946.38382757794	0.02145922746781116
Optimized	26	1	1	0	2	2	20474.43604763876	0.04933333333333333
Optimized	26	1	1	0	2	2	19837.506285728567	0.03753351206434316
Optimized	26	1	1	0	2	2	19009.322206469027	0.021613832853025938
Optimized	26	1	1	0	2	2	19858.32503074358	0.049664429530201344
Optimized	26	1	1	0	2	2	22374.21910211669	0.04
Optimized	26	1	1	0	2	2	18279.99129220154	0.01661631419939577
Optimized	26	1	1	0	2	2	21225.460664363953	0.06232294617563739
Optimized	26	1	1	0	2	2	20397.682877244828	0.01544943820224719
