date;men;women;jewel;mail;page;phone;print;service;MONTH_;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;period
01.03.1992;8214,14;35220,07;12665,57;9435;71;17;29231,36;28;3;0;0;1;0;0;0;0;0;0;0;0;0;39
01.04.1992;11111,67;34564,35;8713,27;9305;114;27;28140,75;28;4;0;0;0;1;0;0;0;0;0;0;0;0;40
01.05.1992;13446,88;36778,06;20272,69;9069;52;36;27821,67;31;5;0;0;0;0;1;0;0;0;0;0;0;0;41
01.06.1992;11751,36;38882,75;12767,12;9516;70;28;28836,56;35;6;0;0;0;0;0;1;0;0;0;0;0;0;42
01.07.1992;13703,47;39468,25;10732,06;9174;90;36;28031,41;36;7;0;0;0;0;0;0;1;0;0;0;0;0;43
01.08.1992;16227,79;38713,50;13707,49;10047;86;35;26973,08;35;8;0;0;0;0;0;0;0;1;0;0;0;0;44
01.09.1992;11958,03;43817,01;17265,92;9173;79;25;33723,18;34;9;0;0;0;0;0;0;0;0;1;0;0;0;45
01.10.1992;16492,76;46250,72;17768,15;9887;92;32;30709,69;36;10;0;0;0;0;0;0;0;0;0;1;0;0;46
01.11.1992;11907,34;40400,87;24859,85;8740;82;26;30619,22;32;11;0;0;0;0;0;0;0;0;0;0;1;0;47
01.12.1992;26432,44;60642,61;30119,79;12768;89;39;28435,54;45;12;0;0;0;0;0;0;0;0;0;0;0;1;48
01.01.1993;12340,27;23663,65;11616,36;9281;80;36;27079,19;35;1;1;0;0;0;0;0;0;0;0;0;0;0;49
01.02.1993;10750,18;24400,76;13871,31;9914;58;28;27746,94;37;2;0;1;0;0;0;0;0;0;0;0;0;0;50
01.03.1993;11469,63;37879,20;10974,73;9516;84;28;26989,71;37;3;0;0;1;0;0;0;0;0;0;0;0;0;51
01.04.1993;11746,92;41884,14;12619,47;9510;79;29;30117,31;41;4;0;0;0;1;0;0;0;0;0;0;0;0;52
01.05.1993;21228,59;53541,03;29350,61;10378;79;33;30507,91;37;5;0;0;0;0;1;0;0;0;0;0;0;0;53
01.06.1993;11683,26;39528,52;11729,62;9286;68;27;26337,39;38;6;0;0;0;0;0;1;0;0;0;0;0;0;54
01.07.1993;12900,04;43131,16;12964,55;10206;88;32;34386,65;35;7;0;0;0;0;0;0;1;0;0;0;0;0;55
01.08.1993;14274,13;38643,97;15087,12;9731;80;33;29018,32;33;8;0;0;0;0;0;0;0;1;0;0;0;0;56
01.09.1993;15443,74;44413,45;14242,49;9705;82;33;28299,60;35;9;0;0;0;0;0;0;0;0;1;0;0;0;57
01.10.1993;16823,61;46639,55;18342,97;9873;83;29;31942,43;36;10;0;0;0;0;0;0;0;0;0;1;0;0;58
01.11.1993;15438,89;49281,79;24040,76;10239;92;29;32450,62;40;11;0;0;0;0;0;0;0;0;0;0;1;0;59
01.12.1993;27831,92;65196,81;32845,90;12619;93;42;34049,63;49;12;0;0;0;0;0;0;0;0;0;0;0;1;60
01.01.1994;12725,70;22513,18;12027,85;9598;72;37;27092,93;31;1;1;0;0;0;0;0;0;0;0;0;0;0;61
01.02.1994;12583,02;22573,29;12062,75;9924;77;33;28142,24;28;2;0;1;0;0;0;0;0;0;0;0;0;0;62
01.03.1994;12640,57;37414,13;11659,91;9938;70;30;26488,64;32;3;0;0;1;0;0;0;0;0;0;0;0;0;63
01.04.1994;15439,02;41151,05;12551,13;10336;72;37;29197,42;38;4;0;0;0;1;0;0;0;0;0;0;0;0;64
01.05.1994;11314,28;42418,67;20888,10;10078;66;27;31539,69;37;5;0;0;0;0;1;0;0;0;0;0;0;0;65
01.06.1994;15956,74;35911,73;12082,33;10502;77;40;28424,15;28;6;0;0;0;0;0;1;0;0;0;0;0;0;66
01.07.1994;14710,61;34901,72;9937,81;9727;101;37;27467,78;30;7;0;0;0;0;0;0;1;0;0;0;0;0;67
01.08.1994;17777,68;40581,52;17400,57;10843;66;36;29982,77;32;8;0;0;0;0;0;0;0;1;0;0;0;0;68
01.09.1994;26931,20;61179,20;26013,42;10195;85;43;31706,32;40;9;0;0;0;0;0;0;0;0;1;0;0;0;69
01.10.1994;19135,79;44547,37;14286,86;10069;87;37;22909,04;40;10;0;0;0;0;0;0;0;0;0;1;0;0;70
01.11.1994;17430,03;50375,31;26372,54;10413;82;33;32400,11;42;11;0;0;0;0;0;0;0;0;0;0;1;0;71
01.12.1994;31090,05;63823,61;29037,81;13194;102;54;30816,16;50;12;0;0;0;0;0;0;0;0;0;0;0;1;72
01.01.1995;23967,98;38327,12;22947,13;10363;80;45;31244,64;38;1;1;0;0;0;0;0;0;0;0;0;0;0;73
01.02.1995;17439,42;26802,52;13105,90;10315;75;47;29868,80;39;2;0;1;0;0;0;0;0;0;0;0;0;0;74
01.03.1995;17882,83;43726,64;13841,98;10942;51;47;27131,90;43;3;0;0;1;0;0;0;0;0;0;0;0;0;75
01.04.1995;12688,89;44153,56;9597,03;10430;91;30;24608,19;45;4;0;0;0;1;0;0;0;0;0;0;0;0;76
01.05.1995;12694,22;50111,22;17361,45;10259;82;31;29251,61;56;5;0;0;0;0;1;0;0;0;0;0;0;0;77
01.06.1995;6766,94;23246,30;5983,55;10537;77;31;28675,14;49;6;0;0;0;0;0;1;0;0;0;0;0;0;78
01.07.1995;13586,38;44048,71;13489,52;11330;66;28;28903,27;41;7;0;0;0;0;0;0;1;0;0;0;0;0;79
01.08.1995;12651,74;38977,73;11396,69;10260;99;26;24925,65;39;8;0;0;0;0;0;0;0;1;0;0;0;0;80
01.09.1995;16536,12;45705,63;18238,10;10459;51;35;28918,53;34;9;0;0;0;0;0;0;0;0;1;0;0;0;81
01.10.1995;22533,51;44370,37;12411,75;10922;110;45;23991,03;36;10;0;0;0;0;0;0;0;0;0;1;0;0;82
01.11.1995;19229,11;47942,89;23347,51;10599;85;35;28956,02;38;11;0;0;0;0;0;0;0;0;0;0;1;0;83
01.12.1995;28694,60;73918,34;38231,57;14508;96;39;40027,78;52;12;0;0;0;0;0;0;0;0;0;0;0;1;84
01.01.1996;17679,00;28182,68;12883,50;9862;80;47;30981,43;42;1;1;0;0;0;0;0;0;0;0;0;0;0;85
01.02.1996;16991,33;28526,25;14239,68;11626;69;39;30864,11;40;2;0;1;0;0;0;0;0;0;0;0;0;0;86
01.03.1996;16375,99;44341,36;13989,38;10719;72;40;30878,74;42;3;0;0;1;0;0;0;0;0;0;0;0;0;87
01.04.1996;22562,40;52901,81;23358,82;10065;77;34;29963,57;37;4;0;0;0;1;0;0;0;0;0;0;0;0;88
01.05.1996;15713,78;42483,37;18503,74;11398;80;34;26957,77;42;5;0;0;0;0;1;0;0;0;0;0;0;0;89
01.06.1996;16788,99;44115,29;11558,59;10948;89;40;26925,34;44;6;0;0;0;0;0;1;0;0;0;0;0;0;90
01.07.1996;15460,81;40648,21;13444,29;11041;76;36;30604,92;33;7;0;0;0;0;0;0;1;0;0;0;0;0;91
01.08.1996;19541,03;41637,65;13782,44;11022;72;41;22690,31;41;8;0;0;0;0;0;0;0;1;0;0;0;0;92
01.09.1996;17080,42;51194,98;13288,08;10789;102;37;28642,16;45;9;0;0;0;0;0;0;0;0;1;0;0;0;93
01.10.1996;23491,87;50884,34;17955,04;11419;87;41;29108,63;47;10;0;0;0;0;0;0;0;0;0;1;0;0;94
01.11.1996;24450,60;47875,82;20520,58;11419;89;45;24164,44;43;11;0;0;0;0;0;0;0;0;0;0;1;0;95
01.12.1996;34028,01;69112,81;34929,23;13666;91;52;34843,65;54;12;0;0;0;0;0;0;0;0;0;0;0;1;96
01.01.1997;17917,91;25647,49;11043,41;11611;75;40;23542,26;41;1;1;0;0;0;0;0;0;0;0;0;0;0;97
01.02.1997;15596,13;24421,91;11384,90;10882;81;36;27434,75;35;2;0;1;0;0;0;0;0;0;0;0;0;0;98
01.03.1997;15604,66;40030,11;13779,56;11288;64;37;28652,30;32;3;0;0;1;0;0;0;0;0;0;0;0;0;99
01.04.1997;17874,44;41055,37;12655,11;11096;87;43;31720,31;36;4;0;0;0;1;0;0;0;0;0;0;0;0;100
01.05.1997;17242,11;46385,56;22997,57;11224;57;41;32246,55;46;5;0;0;0;0;1;0;0;0;0;0;0;0;101
01.06.1997;17979,72;45873,16;10989,57;11483;104;41;29281,37;44;6;0;0;0;0;0;1;0;0;0;0;0;0;102
01.07.1997;19080,03;45480,15;11888,01;11643;71;43;25594,92;49;7;0;0;0;0;0;0;1;0;0;0;0;0;103
01.08.1997;18758,66;48561,86;16730,92;10893;66;40;28863,19;50;8;0;0;0;0;0;0;0;1;0;0;0;0;104
01.09.1997;3245,18;31578,77;8641,83;1147;89;42;29526,59;45;9;0;0;0;0;0;0;0;0;1;0;0;0;105
01.10.1997;23241,04;57673,57;15047,70;12260;106;38;26296,05;51;10;0;0;0;0;0;0;0;0;0;1;0;0;106
01.11.1997;22452,33;52061,74;21102,20;11168;78;39;21447,37;50;11;0;0;0;0;0;0;0;0;0;0;1;0;107
01.12.1997;38236,59;75818,17;33785,72;14370;85;59;31109,75;63;12;0;0;0;0;0;0;0;0;0;0;0;1;108
01.01.1998;22028,80;31267,58;10388,66;11890;92;50;24474,30;53;1;1;0;0;0;0;0;0;0;0;0;0;0;109
01.02.1998;17719,90;31514,68;15582,68;11722;57;42;32105,83;50;2;0;1;0;0;0;0;0;0;0;0;0;0;110
01.03.1998;19408,95;49715,25;11647,56;11589;86;50;27143,16;53;3;0;0;1;0;0;0;0;0;0;0;0;0;111
01.04.1998;14169,61;52026,07;13117,08;11633;67;32;28349,67;58;4;0;0;0;1;0;0;0;0;0;0;0;0;112
01.05.1998;19916,02;41038,75;13195,13;11951;88;47;18061,20;41;5;0;0;0;0;1;0;0;0;0;0;0;0;113
01.06.1998;19001,89;48329,36;12642,91;11706;80;49;29071,06;46;6;0;0;0;0;0;1;0;0;0;0;0;0;114
01.07.1998;18631,15;44961,98;12554,13;11460;80;46;28232,17;43;7;0;0;0;0;0;0;1;0;0;0;0;0;115
01.08.1998;30208,17;58660,76;24377,91;11808;85;44;26668,16;45;8;0;0;0;0;0;0;0;1;0;0;0;0;116
01.09.1998;24467,94;57791,14;16044,00;12781;83;49;29911,68;54;9;0;0;0;0;0;0;0;0;1;0;0;0;117
01.10.1998;23602,00;56329,40;15974,66;11690;95;43;27872,97;55;10;0;0;0;0;0;0;0;0;0;1;0;0;118
01.11.1998;24289,32;54617,35;23753,23;11393;76;48;26047,70;53;11;0;0;0;0;0;0;0;0;0;0;1;0;119
01.12.1998;38609,66;80245,97;35893,86;15263;95;53;36666,60;68;12;0;0;0;0;0;0;0;0;0;0;0;1;120
